data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2025-11-03,chat,Ajuste de Orçamento,Cliente quer cortar gastos supérfluos para aumentar o aporte mensal em 15%,sim
2025-11-10,chat,Reserva de Emergência,Orientação sobre transição da reserva (atingida) para investimentos de maior rentabilidade,sim
2025-11-18,email,FIIs vs Imóvel Físico,Cliente em dúvida entre comprar o primeiro apartamento ou investir em fundos imobiliários,sim
2025-11-25,chat,Ações de Dividendos,Explicação sobre o conceito de 'data-com' e reinvestimento de proventos para efeito bola de neve,sim
2025-12-02,telefone,Psicologia do Investidor,Cliente em pânico com oscilação negativa do mercado; orientado a manter a estratégia de longo prazo,sim
2025-12-10,chat,Renda Fixa IPCA+,Análise de cenário de inflação alta e recomendação de títulos atrelados ao IPCA para proteção de poder de compra,sim
2025-12-15,chat,Aporte Extra,Cliente recebeu o 13º salário e pediu estratégia de divisão entre quitação de dívidas e novos aportes,sim
2026-01-05,chat,Metas 2026,Planejamento anual para dobrar o patrimônio líquido nos próximos 24 meses,sim
2026-01-12,email,Previdência Privada,Avaliação de portfólio VGBL/PGBL corporativo versus investir por conta própria,sim
2026-01-20,chat,Alocação Internacional,Dúvidas sobre dolarização de patrimônio através de ETFs globais para diversificação de risco-país,sim
2026-02-02,chat,Limpa Nome,Casal quer priorizar quitação de dívidas antigas aproveitando descontos de feirões de Score,sim
2026-02-10,chat,Lifestyle Creep,Alerta do guru sobre o perigo de inflacionar o padrão de vida (aluguel, festas) só porque a renda subiu,sim
2026-02-18,email,Planejamento de Mudança,Dúvida se vale a pena se mudar para perto do trabalho para economizar transporte, já que não têm carro,sim
2026-02-25,chat,Primeiro Aporte,Orientação sobre como investir os primeiros R$ 500 poupados após o pagamento da primeira parcela do acordo,sim
2026-03-05,telefone,Reserva de Paz de Espírito,Explicação de que, para quem já teve nome sujo, a reserva de emergência deve ser prioridade antes de ações,sim
2026-03-12,chat,Cartão de Crédito,Casal pergunta se deve voltar a usar cartão de crédito com limite baixo ou focar apenas no débito/Pix,sim
2026-03-20,chat,Investimento em Casal,Discussão sobre centralizar as finanças em uma conta conjunta para investimentos ou manter contas separadas,sim
2026-04-03,email,Comprar Carro vs Uber,Análise de custo-benefício: pressão social para comprar o primeiro carro versus continuar usando app/transporte,sim
2026-04-12,chat,Renda Fixa de Curto Prazo,Aporte focado em objetivos de 1 a 2 anos (como mobiliar a casa ou casar) sem travar o dinheiro por muito tempo,sim
2026-04-20,chat,心理 do Enriquecimento,Guru parabeniza o casal pelos primeiros R$ 5 mil investidos e reforça o foco no longo prazo,sim
